Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
June 30, 2025 - 16:39:13
Django version 4.2, using settings 'bento_order_app.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

[30/Jun/2025 16:39:27] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:39:27] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:39:30] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:39:30] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:39:46] "GET /api/orders/export-annual-orders-csv/?company_id=1&year=2025 HTTP/1.1" 200 246
[30/Jun/2025 16:39:54] "GET /api/orders/export-monthly-orders-csv/?company_id=1&year=2025&month=6 HTTP/1.1" 200 246
[30/Jun/2025 16:40:02] "GET /api/orders/customer-users/?company_id=1 HTTP/1.1" 200 31
[30/Jun/2025 16:40:02] "GET /api/orders/menus/ HTTP/1.1" 200 2325
[30/Jun/2025 16:40:02] "GET /api/orders/system-settings/ HTTP/1.1" 200 72
[30/Jun/2025 16:40:02] "GET /api/orders/customer-users/?company_id=1 HTTP/1.1" 200 31
[30/Jun/2025 16:40:02] "GET /api/orders/menus/ HTTP/1.1" 200 2325
[30/Jun/2025 16:40:02] "GET /api/orders/system-settings/ HTTP/1.1" 200 72
[30/Jun/2025 16:40:24] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:40:24] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:40:39] "GET /api/orders/export-annual-orders-csv/?company_id=1&year=2025 HTTP/1.1" 200 246
[30/Jun/2025 16:40:45] "GET /api/orders/export-annual-orders-csv/?company_id=1&year=2025 HTTP/1.1" 200 246
[30/Jun/2025 16:40:55] "GET /api/orders/export-annual-orders-csv/?company_id=1&year=2025 HTTP/1.1" 200 246
[30/Jun/2025 16:41:03] "GET /api/orders/export-annual-orders-csv/?company_id=1&year=2025 HTTP/1.1" 200 246
[30/Jun/2025 16:41:10] "GET /api/orders/customer-users/?company_id=1 HTTP/1.1" 200 31
[30/Jun/2025 16:41:10] "GET /api/orders/menus/ HTTP/1.1" 200 2325
[30/Jun/2025 16:41:10] "GET /api/orders/system-settings/ HTTP/1.1" 200 72
[30/Jun/2025 16:41:10] "GET /api/orders/customer-users/?company_id=1 HTTP/1.1" 200 31
[30/Jun/2025 16:41:10] "GET /api/orders/menus/ HTTP/1.1" 200 2325
[30/Jun/2025 16:41:10] "GET /api/orders/system-settings/ HTTP/1.1" 200 72
[30/Jun/2025 16:41:19] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:41:19] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:41:26] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
[30/Jun/2025 16:41:26] "GET /api/orders/company-order-status/?company_id=1 HTTP/1.1" 200 26
